id,tourist_arrivals
145584,456.3588235294118
145585,865.8
145586,162.89411764705883
145587,168.97058823529412
145588,23.841176470588234
145589,241.22941176470587
145590,137.1
145591,334.6294117647059
145592,156.47058823529412
145593,400.6588235294118
145594,355.8764705882353
145595,43.188235294117646
145596,15.129411764705882
145597,245.94117647058823
145598,9.558823529411764
145599,215.12941176470588
145600,871.935294117647
145601,1105.9176470588236
145602,713.7705882352941
145603,170.14117647058825
145604,65.8
145605,798.0470588235294
145606,56.77647058823529
145607,523.9529411764706
145608,207.25882352941176
145609,586.5823529411765
145610,270.77647058823527
145611,77.24901960784312
145612,20.49411764705882
145613,214.54705882352943
145614,36.34705882352941
145615,218.63529411764705
145616,178.78823529411764
145617,428.7
145618,264.61764705882354
145619,77.44705882352942
145620,28.405882352941177
145621,226.18823529411765
145622,43.411764705882355
145623,193.35294117647058
145624,229.14117647058825
145625,642.3
145626,315.38823529411764
145627,57.95294117647059
145628,29.86470588235294
145629,365.4764705882353
145630,45.53529411764706
145631,139.88235294117646
145632,170.37058823529412
145633,402.18627450980387
145634,320.7352941176471
145635,96.80588235294118
145636,24.82941176470588
145637,265.99411764705883
145638,28.66411764705882
145639,130.4127450980392
145640,149.24117647058824
145641,269.71176470588233
145642,190.75294117647059
145643,227.71176470588236
145644,23.545098039215684
145645,193.16176470588235
145646,19.58235294117647
145647,81.74705882352941
145648,430.1
145649,946.4941176470588
145650,567.2411764705882
145651,227.24705882352941
145652,34.65882352941176
145653,420.51176470588234
145654,80.21764705882353
145655,465.63529411764705
145656,880.2823529411764
145657,842.2335294117647
145658,303.51519607843136
145659,236.9747549019608
145660,37.65882352941176
145661,256.8264705882353
145662,85.01529411764706
145663,307.6411764705882
145664,215.64705882352942
145665,515.9058823529411
145666,451.6823529411765
145667,81.92941176470588
145668,44.64705882352941
145669,337.02941176470586
145670,56.294117647058826
145671,458.6294117647059
145672,899.0470588235294
145673,1260.6117647058823
145674,303.36470588235295
145675,248.28235294117647
145676,47.582352941176474
145677,382.8176470588235
145678,110.0764705882353
145679,608.1588235294117
145680,769.3058823529411
145681,1508.5
145682,1033.6235294117646
145683,243.3764705882353
145684,49.17058823529412
145685,587.7176470588236
145686,46.35294117647059
145687,558.5529411764705
145688,460.05882352941177
145689,697.8470588235294
145690,369.11764705882354
145691,244.74705882352941
145692,36.61176470588235
145693,331.9235294117647
145694,138.51764705882354
145695,212.2955882352941
145696,186.9
145697,469.1058823529412
145698,271.07941176470587
145699,106.95294117647059
